t,drone_x,drone_y,drone_z,drone_vel_x,drone_vel_y,drone_vel_z,drone_roll,drone_pitch,drone_yaw,flower_x,flower_y,flower_z,flower_vel_x,flower_vel_y,flower_vel_z,flower_roll,flower_pitch,flower_yaw,dx,dy,dz,distance
21.178000,-0.001533,-0.004292,1.074575,-0.000003,0.000017,-0.041639,-0.000041,0.000005,1.570799,0.554802,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.556336,1.004292,0.025425,1.148372
21.180000,-0.001533,-0.004292,1.074491,-0.000004,0.000017,-0.041628,-0.000041,0.000004,1.570799,0.553802,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.555336,1.004292,0.025509,1.147890
21.182000,-0.001533,-0.004292,1.074408,-0.000005,0.000017,-0.041618,-0.000040,0.000004,1.570799,0.552792,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.554326,1.004292,0.025592,1.147403
21.184000,-0.001533,-0.004292,1.074325,-0.000005,0.000017,-0.041607,-0.000040,0.000004,1.570799,0.551772,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.553306,1.004292,0.025675,1.146912
21.186000,-0.001533,-0.004292,1.074241,-0.000006,0.000017,-0.041595,-0.000039,0.000004,1.570799,0.550742,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.552276,1.004292,0.025759,1.146418
21.188000,-0.001533,-0.004292,1.074158,-0.000007,0.000017,-0.041584,-0.000039,0.000004,1.570799,0.549702,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.551236,1.004292,0.025842,1.145919
21.190000,-0.001533,-0.004292,1.074075,-0.000008,0.000017,-0.041572,-0.000038,0.000003,1.570799,0.548653,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.550186,1.004292,0.025925,1.145416
21.192000,-0.001534,-0.004292,1.073992,-0.000008,0.000017,-0.041561,-0.000038,0.000003,1.570799,0.547593,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.549127,1.004292,0.026008,1.144910
21.194000,-0.001534,-0.004292,1.073908,-0.000009,0.000017,-0.041549,-0.000037,0.000003,1.570799,0.546524,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.548057,1.004292,0.026092,1.144399
21.196000,-0.001534,-0.004292,1.073825,-0.000010,0.000017,-0.041537,-0.000036,0.000002,1.570799,0.545445,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.546978,1.004292,0.026175,1.143885
21.198000,-0.001534,-0.004292,1.073742,-0.000010,0.000017,-0.041524,-0.000036,0.000002,1.570799,0.544356,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.545890,1.004292,0.026258,1.143366
21.200000,-0.001534,-0.004291,1.073659,-0.000011,0.000017,-0.041512,-0.000035,0.000002,1.570799,0.543258,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.544791,1.004291,0.026341,1.142844
21.202000,-0.001534,-0.004291,1.073576,-0.000012,0.000017,-0.041500,-0.000034,0.000001,1.570799,0.542150,1.000000,1.100000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.571000,0.543684,1.004291,0.026424,1.142318
