time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,set_point,dt,raw_divergence,color_count,mu_x,p_output,i_output,pid_on, time_sl,raw_of_y, lp_const_of, of_y, of_y_d,mu_y, mu_z,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
12.148018,-0.004618,-0.001619,-1.094250,0.000020,-0.000138,-0.030352,0.000089,0.000291,0.032740,0.000017,-0.000011,0.000491,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1468.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6496,0,31,0
12.149972,-0.004618,-0.001619,-1.094311,0.000020,-0.000138,-0.030286,0.000087,0.000303,0.033252,0.000018,-0.000011,0.000491,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1468.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6496,0,31,0
12.151926,-0.004618,-0.001619,-1.094371,0.000020,-0.000137,-0.030219,0.000086,0.000314,0.033983,0.000020,-0.000011,0.000491,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1468.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,0
12.153880,-0.004618,-0.001620,-1.094432,0.000020,-0.000136,-0.030151,0.000084,0.000326,0.033792,0.000021,-0.000010,0.000491,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1468.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6496,0,31,0
12.155834,-0.004618,-0.001620,-1.094492,0.000020,-0.000136,-0.030083,0.000083,0.000337,0.034187,0.000022,-0.000010,0.000491,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1468.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6496,0,31,-1
12.157788,-0.004618,-0.001620,-1.094552,0.000020,-0.000135,-0.030013,0.000082,0.000351,0.034812,0.000023,-0.000010,0.000491,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1468.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,-1
12.159742,-0.004618,-0.001621,-1.094612,0.000021,-0.000134,-0.029944,0.000081,0.000362,0.034525,0.000025,-0.000010,0.000491,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1468.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6496,0,31,-1
12.161696,-0.004618,-0.001621,-1.094672,0.000021,-0.000134,-0.029875,0.000080,0.000373,0.034833,0.000026,-0.000010,0.000491,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1468.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6496,0,31,-1
12.163650,-0.004618,-0.001621,-1.094732,0.000021,-0.000133,-0.029804,0.000079,0.000385,0.035379,0.000027,-0.000010,0.000491,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1468.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6504,0,31,-1
12.165604,-0.004618,-0.001621,-1.094791,0.000021,-0.000132,-0.029734,0.000078,0.000396,0.035020,0.000028,-0.000010,0.000491,10.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000,0.000000,1468.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6497,0,31,-1
